taskname,category
Audio/Visual & Technology,FF&E + Millwork
Audio/Visual (00011 / 11130),FF&E + Millwork
Audio/Visual - AV Allowance,Construction
Audio/Visual - AVI SPL,FF&E + Millwork
Audio/Visual - CAP,FF&E + Millwork
Audio/Visual - Carousel,FF&E + Millwork
Audio/Visual - Diversified,FF&E + Millwork
Audio/Visual - EXP,FF&E + Millwork
Audio/Visual - Neurilink,FF&E + Millwork
Audio/Visual - Ty and Jason,FF&E + Millwork
Audio/Visual - Verrex,FF&E + Millwork
Audio/Visual - Zoom Equipment,FF&E + Millwork
Audio/Visual / IT / Security,FF&E + Millwork
Audio/Visual AVI SPL,FF&E + Millwork
Audio/Visual BH,FF&E + Millwork
Audio/Visual Consultant,FF&E + Millwork
Audio/Visual Decom - CAP,FF&E + Millwork
Audio/Visual Design,FF&E + Millwork
Audio/Visual Design - National Tech,FF&E + Millwork
Audio/Visual Equipment,FF&E + Millwork
Audio/Visual Equipment & Infrastructure,FF&E + Millwork
Audio/Visual Equipment & Installation,FF&E + Millwork
Audio/Visual Equipment (AVI-SPL),FF&E + Millwork
Audio/Visual Equipment (Including AV Cabling),FF&E + Millwork
Audio/Visual Equipment - TriTech,FF&E + Millwork
Audio/Visual Install,FF&E + Millwork
Audio/Visual Monitors,FF&E + Millwork
Audio/Visual Systems,FF&E + Millwork
"Audio/Visual, All",FF&E + Millwork
"Audio/Visual, all",FF&E + Millwork
Audio/Visual-Exp,FF&E + Millwork
Audio/Visual/Specialty Spaces,FF&E + Millwork
Audio/Visual| all,FF&E + Millwork
Audio/visual Equipment,FF&E + Millwork
AudioVisual,FF&E + Millwork
AudioVisual - BBH,FF&E + Millwork
AudioVisual - IS&T,FF&E + Millwork
AudioVisual - Spectra _ Lobby,FF&E + Millwork
AudioVisual - inLighten Equipment,FF&E + Millwork
AudioVisual Consultant,FF&E + Millwork
AudioVisual Design - Spectra,FF&E + Millwork
AudioVisual L3,FF&E + Millwork
AudioVisual Spectra,FF&E + Millwork
AudioVisual- Spectra/ Paladin,FF&E + Millwork
AudioVisual-Kinly,FF&E + Millwork
Audiovisual,FF&E + Millwork
Audiovisual - Berkadia,FF&E + Millwork
Audiovisual Consultant - Spectra,FF&E + Millwork
August Management Fee,Soft Costs
Authorized Budget LBM00-838001,Uncategorized
Automation - Bastian,Uncategorized
Automation - Conveyance,Uncategorized
Automation/Assembly,Uncategorized
Avuity,Uncategorized
Awnings (Canvas),Uncategorized
Axis - Enviro. Remediation,Uncategorized
B-Work Architetural (Non-structural),Soft Costs
B01 Construction Hard Costs,Construction
"B03 Fees/Costs [Tax, Labor Burden, G/L]",Construction
B04 P&P Bond,Uncategorized
B07 Contractor's Fee,Soft Costs
B08 Owner's HC Contingency 5%,Construction
B11 In Line Tenant Improvements,Construction
BACR Construction,Construction
BB Contingency,Construction
"BBI O&P, Insurance",Soft Costs
BCN #40110C192076324,Uncategorized
BCN #40110C192529318,Uncategorized
BCN #40110C193281012,Uncategorized
BCN #40110C194250136,Uncategorized
BCN #40110C194255003,Uncategorized
BDP Building Permits,Soft Costs
BIM Modeling / Survey,Soft Costs
BIM Scanning,Uncategorized
BKF Civil Engineer,Soft Costs
BMO and Authority Fee,Soft Costs
BMO and authority fees,Soft Costs
BMS,Construction
BMS (ABCS),Construction
BMS designs,Construction
BR Glass,Uncategorized
BRR Design,Uncategorized
BSC Certification,Uncategorized
BSC IT & IT Vendors - Capex,Uncategorized
BSC IT & IT Vendors - Opex,Uncategorized
BSC IT - Exp,Uncategorized
BT empower services,Uncategorized
BT services,Uncategorized
BT works,Uncategorized
BUDGET,Uncategorized
BWA - MEP Consultants,Soft Costs
Back of House Shelving,FF&E + Millwork
Backbone Cabling,FF&E + Millwork
Backflow Preventer Replacement,Uncategorized
Badge Readers,Uncategorized
Baker Barrios & MEPs,Uncategorized
Bala Engineering,Soft Costs
Balfour Beatty GC Contract Value,Construction
Balfour Contingency,Construction
Balfour Pending Change Orders,Construction
Ballast/Pavement,Uncategorized
Ballroom and Meeting Rooms - GC,Construction
Ballrooms and Meeting Rooms FF&E,FF&E + Millwork
Baltimore City Water Connection,Construction
Bandit Barrier,Uncategorized
Bank Equip.,Uncategorized
Bank Equipment,FF&E + Millwork
Bank Equipment & Special Construction,FF&E + Millwork
"Bank Equipment (Drive Up, Depository, Undercounter, TCR)",FF&E + Millwork
Bank Equipment (Phoenix),FF&E + Millwork
Bank Equipment /Undercounter Steel/Drive-Up Work,FF&E + Millwork
Bank Equipment/Undercounter Steel,FF&E + Millwork
Bank Equipment/Vault Removal,FF&E + Millwork
Bank/App/Furn - Oth,Uncategorized
Banking Equipment,FF&E + Millwork
Banking Fees,Soft Costs
Banquettes for Bar B,Uncategorized
Bar Eqpt & Stools,Uncategorized
Bar Stools,Uncategorized
Barbizon Electric,Construction
Barbizon Equipment,FF&E + Millwork
Barista Equipment,FF&E + Millwork
Barrett Sports Group Study (also Icon Mgmt),Uncategorized
Barricade Vendor,Uncategorized
Barringer,Uncategorized
Barrisol,Uncategorized
Barry Isett: Geotechnical Consultant,Soft Costs
Base Build Elements,Construction
Base Building,Construction
Base Building Architect,Soft Costs
Base Building Changes,Construction
Base Building Consultants,Soft Costs
Base Building Fees (1% LL CM Fee),Soft Costs
Base Building Modification Effort,Construction
Base Building Mods,Construction
Base Building transformer Upgrade,Construction
Base Construction Contract,Construction
Base building architect coordination,Soft Costs
Baseboard,Construction
Baseboard Heater Wiring (ALLOWANCE),Construction
Basic Design Services and Basic Construction Administration,Soft Costs
Bask Design time/ space not pursued,Soft Costs
Bathroom Accessories - 10800,FF&E + Millwork
Bathroom Rental,Uncategorized
Battery Equip (UPS),Uncategorized
Bay Alarm,Uncategorized
Beverage Fridge (Install Only),Uncategorized
Bid Documents,Uncategorized
Bidding and Permit,Soft Costs
Bidding/Permit Phase,Soft Costs
Biophilia,Uncategorized
Biophilia (Ambius),Uncategorized
Biophilia - Ambius,Uncategorized
Biophilia Design,Uncategorized
Biophilia Program,Uncategorized
Biophilia program,Uncategorized
Biz - IT Support,Uncategorized
BlackRock Direct Purchases - Equipment AV,FF&E + Millwork
BlackRock Direct Purchases - Equipment Tech,FF&E + Millwork
Bldg / Shell Construction,Construction
Bldg Acq,Uncategorized
"Bldg Acq, all",Uncategorized
Bldg Acq- Closing,Uncategorized
Bldg Acq- Contingency 1,Construction
Bldg Acq- Other,Uncategorized
Bldg Construction - Imprv Facilities,Construction
Bldg Signage,FF&E + Millwork
BldgChannelLetter-Signage Ext,FF&E + Millwork
Blinds,FF&E + Millwork
Blinds - roller shades,FF&E + Millwork
Block of Approved Blum CO's,Uncategorized
Bluebird Graphic (Cafe),Uncategorized
BoH Shelving,FF&E + Millwork
Board of Health Consultant,Soft Costs
Bohler Engineering (Permitting),Soft Costs
Boiler Replacement,Construction
Bollard & Guardrail Allowance,Construction
Bonds,Uncategorized
Bonds and Insurance @ 1.5%.,Soft Costs
Bonk Honk & Compressor,Construction
Booms/Lights/Integration/Endo Equipment,FF&E + Millwork
Both: Architect - Garnett Architects,Soft Costs
Both: MEP/Technology Engineer - Syska Hennessy Group,FF&E + Millwork
Both: Project Contingency - CDW Real Estate,Construction
Both: Project Management - JLL,Soft Costs
Bottoms Up and Mystery Beer Machine,Uncategorized
Branch Check Scanner,Uncategorized
Branch Check Scanner - 1 total,Uncategorized
Branch Equip Package,Uncategorized
Branch Office AV Base Scope,FF&E + Millwork
Branch Office AV Base Scope Revision,FF&E + Millwork
Branding,FF&E + Millwork
Branding & Branding,FF&E + Millwork
Branding & Graphics,FF&E + Millwork
Branding & Signage,FF&E + Millwork
Branding (3D) (Val),FF&E + Millwork
Branding (67000 / 67275),FF&E + Millwork
"Branding - Accessories, Rugs, plants",FF&E + Millwork
Branding - Consulting (Gensler),FF&E + Millwork
Branding - Signage,FF&E + Millwork
Branding - Signage/Graphics,FF&E + Millwork
Branding - Tenfold,FF&E + Millwork
Branding - signage - banners etc.,FF&E + Millwork
Branding / Art,FF&E + Millwork
Branding / Art Mural,FF&E + Millwork
Branding / Environmental Graphics,FF&E + Millwork
Branding / Interior Signage,FF&E + Millwork
Branding / Signage,FF&E + Millwork
Branding / Signage Design,FF&E + Millwork
"Branding Budget  $ 2,325,819 & Signage Budget $562,400 (Unbought Remainder)",FF&E + Millwork
Branding Consultant,FF&E + Millwork
Branding Consultant (BRR),FF&E + Millwork
Branding Design,FF&E + Millwork
Branding Design Bakeoff,FF&E + Millwork
Branding Design Fees,FF&E + Millwork
Branding Infrastructure,FF&E + Millwork
Branding Installation,FF&E + Millwork
Branding PO-297769,FF&E + Millwork
Branding Signage,FF&E + Millwork
Branding Signage Graphic,FF&E + Millwork
Branding and Graphics,FF&E + Millwork
Branding and Wallcovering,FF&E + Millwork
"Branding, Artwork, Signage",FF&E + Millwork
Branding/ Environmental Graphics,FF&E + Millwork
Branding/ Signage,FF&E + Millwork
Branding/Artwork,FF&E + Millwork
Branding/Digital Sign Cost,FF&E + Millwork
Branding/Digital Sign Costs,FF&E + Millwork
Branding/Digital Signage,FF&E + Millwork
Branding/Digital Signage Cost,FF&E + Millwork
Branding/Environmental Graphics,FF&E + Millwork
Branding/Graphics,FF&E + Millwork
Branding/Graphics- Forcade,FF&E + Millwork
Branding/Signage,FF&E + Millwork
Branding/Signage Consultant,FF&E + Millwork
Branding/Signage/Graphics,FF&E + Millwork
Break Out Price For Under Roof Insulation (Fire proofing + Roof Insulation),Construction
Break Room Small Appliances,FF&E + Millwork
Break room Appliances,FF&E + Millwork
Breakdown Gabriel Dr. Furniture,FF&E + Millwork
Breakdown Western Ave. Furniture,FF&E + Millwork
Breakroom Appliances,FF&E + Millwork
Breakroom Tables and Chairs,FF&E + Millwork
Brick Building - Allowance,Construction
Brivo,Uncategorized
Broadcast Studio & Auditorium Consultant,Soft Costs
Broker Cost- Other,Uncategorized
Brokerage Fee,Soft Costs
Brookhaven 2nd and 3rd floor - 38 units,Construction
Brookhaven 2x2 - 20 units,Uncategorized
Buch - Construction,Construction
Budget,Uncategorized
Budget Contingency,Construction
Budget Funding for Developer's Fee: Development Management Reimbursables,Soft Costs
Budget Funding for Development Management Fee,Soft Costs
Budget Funding for Engineering/Consultants Line Items,Soft Costs
"Budget Funding for Hard Costs: Building Hard Costs & Site Work, [Transfer for Design, Allowances]",Soft Costs
"Budget Funding for Hard Costs: Design Costs, Allowances, Insurance",Soft Costs
Budget Funding for Leasing Commissions,Uncategorized
"Budget Funding for Legal, Accounting, DD, Other Line Items",Soft Costs
"Budget Funding for Permits, Testing/Inspection, Fees, Bonds",Soft Costs
Budget/Contingency,Construction
Build Out Permit Fees,Soft Costs
Builder's Risk,Construction
Builder's Risk Insurance,Soft Costs
Builders Risk,Construction
Builders Risk Deduct,Construction
Builders Risk Deductible,Construction
Builders Risk Ins.,Construction
Builders Risk Insurance,Soft Costs
Builders Risk Insurance (00001 / 00002),Soft Costs
Builders Risk Insurance - Willis Towers Watson,Soft Costs
Builders Risk Insurance: Subaru,Soft Costs
Builders risk insurance (Roblox item),Soft Costs
Builders work,Construction
Building & Exterior Signage,FF&E + Millwork
Building Authority (BCA),Construction
Building Charges,Construction
Building Commissioning,Soft Costs
Building Concrete,Construction
Building Construction - Whiting Turner,Construction
Building Construction Fee,Construction
Building Costs,Construction
Building Costs / Landlord Fees,Construction
Building Costs / Shut Down,Construction
Building Costs and Landlord Supervision,Construction
Building Costs including Shut Downs & Elevator Charges,Construction
"Building Costs, Shut Downs",Construction
Building Costs/Shutdowns,Construction
Building Design Fee,Soft Costs
Building Design T&E,Soft Costs
Building Engineer,Soft Costs
Building Engineer - ABLE,Soft Costs
Building Envelope Consultant,Soft Costs
Building Envelope Consultant - BEC,Soft Costs
Building Envelope Consultant - TBD,Soft Costs
Building Envelope Consultant Services (Morrison Hershfield),Soft Costs
Building Envelope Engineer & MEP,Soft Costs
Building Equipment,FF&E + Millwork
Building Equipment ($1,FF&E + Millwork
Building Expenses,Construction
Building Exterior Signage,FF&E + Millwork
Building Fees,Construction
Building Fees ?,Construction
Building Freight Charges for Move (by Invesco),FF&E + Millwork
Building Lighting & Displays Construction Costs,Construction
Building Management,Construction
Building Management Sys,Construction
Building Masonry,Construction
Building Permit,Soft Costs
Building Permit & Fees,Soft Costs
Building Permit - By Owner,Soft Costs
Building Permit - Demising & Storefront,Soft Costs
Building Permit - SCIF,Soft Costs
Building Permit Allowance,Construction
Building Permit Costs,Soft Costs
Building Permit Expediter,Soft Costs
Building Permit Expeditor,Soft Costs
Building Permit Expeditor - TBD,Soft Costs
Building Permit Expeditor Fee,Soft Costs
Building Permit Fee,Soft Costs
Building Permit Fee  Fairfax County,Soft Costs
Building Permit Fee - INVISTA,Soft Costs
Building Permit Fees,Soft Costs
Building Permit Filing Fee - Montgomery County,Soft Costs
Building Permit and Impact Fees,Soft Costs
Building Permit/ Expeditor Fees,Soft Costs
Building Permit/Expeditor Fees,Soft Costs
Building Permit/Plan Check,Soft Costs
Building Permit/Plan Check - FT,Soft Costs
Building Permits,Soft Costs
Building Permits & Fees,Soft Costs
Building Permits (City of Bellevue),Soft Costs
Building Permits (City),Soft Costs
Building Permti,Construction
Building Programming,Soft Costs
Building Related Costs/Shut Downs,Construction
Building Repairs (Pain,Construction
Building Roof Replacement,Construction
Building Scan - Avantilo,Construction
Building Scans,Construction
Building Services,Construction
Building Sign,Construction
Building Signage,FF&E + Millwork
Building Signage - Large,FF&E + Millwork
Building Systems Upgrade Allowance,Construction
Building Systems Upgrade Allowance ( 20000 / 20000),Construction
Building costs and shutdowns,Construction
Building/ Construction Costs,Construction
Buildings & Grounds,Uncategorized
Bullet Resis Glass,Uncategorized
Bulletin #1 (PCO #1),Uncategorized
Bulletin #2 (PCO #2),Uncategorized
Bulletin 01,Uncategorized
Bulletin 02,Uncategorized
Bulletin 03,Uncategorized
Bulletin 04R2,Uncategorized
Bulletin 06,Uncategorized
Bulletin 3 (PCO #12),Uncategorized
Burgess Architects,Soft Costs
Burglar Alarm System,Uncategorized
Burke Michael,Uncategorized
Burnet Title - capex incl Furn,Soft Costs
Business Unit Costs,Uncategorized
"Buzzi-donut panels 48"" (5 total) over Pantry Area",FF&E + Millwork
C&S - Arch - CA,Uncategorized
C&S - Construction,Construction
C&S - Exterior Security,FF&E + Millwork
C&S - JLL Project Management,Soft Costs
C&S - MHH Management Fee,Soft Costs
C&S - NIA Allowance Escalation,Construction
C&S - Pest Control,Uncategorized
C&S Architect - Add Services,Soft Costs
C&S Architect - Pinnacle,Soft Costs
C-Work (Including Signage/Graphics),FF&E + Millwork
C01 Architect - EOA,Soft Costs
C02 Acoustical,Soft Costs
C03 Builder's Risk,Construction
C04 Insurance - Owner General Liability,Soft Costs
C05 Building Envelope - Moisture Intrusion Solutions,Soft Costs
C06 Accessibility/Fair Housing,Uncategorized
C07 Civil Engineer - Fulmer,Soft Costs
C08 Landscape Architecture - Hawkins,Soft Costs
C09 Traffic Engineering - KCI,Soft Costs
C1.5 - Others,Uncategorized
C10 Geotechnical - Terracon,Soft Costs
C10.1 - Building (Shell and Core) / Building Improvement,Construction
C11 Brownfield Agreement Consultants - Terracon,Soft Costs
C11.1 - CONTINGENCY,Construction
C12 Real Property Tax 2019 - Real Estate,Uncategorized
C13 Materials Testing,Soft Costs
C14 Water/Sewer Tap Fees,Construction
C15 Building Permits,Soft Costs
C16 Impact Fees/Rezoning Fees - Smith Gee,Soft Costs
C17 Misc,Uncategorized
C18 Legal Costs - Worman,Soft Costs
C19 SC Contingency,Construction
C2.10 - Internal Signage,FF&E + Millwork
C2.3.5 - Partitioning - Others,FF&E + Millwork
C2.4.6 - Flooring Systems/finishes - Others,Construction
C2.5.10 - Electrical Works - Others,Construction
C2.6.8 - Mechanical & HVAC - Others,Construction
C2.9.2 - External works - Construction works,Construction
C2.9.3 - External works - Signage,FF&E + Millwork
C20 Asset Management Fee (Yrs1&2),Soft Costs
C3.4.8 - Loose Furniture - Others,FF&E + Millwork
C3.9 - Others,Uncategorized
C4.3 - Others,Uncategorized
C41 Restrooms (completed in Phase 2),Soft Costs
C41 Sprinklers (completed in Phase 2),Soft Costs
C5.1 - Architect/Interior Designer,FF&E + Millwork
C5.8 - Other Consultants,Soft Costs
C6.3 - Others,Uncategorized
CAID Contingency,Construction
CAM - AV/Tech,Uncategorized
CAM - Construction,Construction
CAM - Furniture,FF&E + Millwork
CAPEX - Lum Sum Funding,Uncategorized
CAPEX - Lump Sum Funding,Uncategorized
CAPEX Budget General Construction,Construction
CAPEX Budget- General Construction,Construction
CAPEX CONTINGENCY,Construction
CAPEX for 190 Mathilda,Uncategorized
CAPEx Contingency,Construction
CAR,Uncategorized
CAR Cooling Tower Stairs,Uncategorized
CAR Site Improvements,Construction
CARRIER HVAC,Construction
CAS Seed,Uncategorized
CBF & IS - Construction,Construction
CBF - Architect,Soft Costs
CBF - Construction,Construction
CBF - Consultants,Soft Costs
CBF - Data Cabling and Misc. IT Scope for Network Requirements,FF&E + Millwork
CBF - Design Fees,Soft Costs
CBF - Permits & Fees,Soft Costs
CBF - Preconstruction,Construction
CBF - Professional Labor,Uncategorized
CBF - Project Contingency,Construction
CBF - Security,FF&E + Millwork
CBF - Testing & Inspections,Soft Costs
CBRE - Project Management,Soft Costs
CBRE Project Management Fee,Soft Costs
CCI - Model Room,Uncategorized
CCTV,Uncategorized
CCTV & Access Control,FF&E + Millwork
CCTV / Video Surveillance,FF&E + Millwork
CCTV / Video Surveillance / Access Control,FF&E + Millwork
CCTV Cameras,FF&E + Millwork
CCTV Security System (Access Control) (Camera Monitoring),FF&E + Millwork
CCTV and Gate Access,Construction
"CCTV, Access control, Carpet, Modular Furniture, Chairs",FF&E + Millwork
CDW Established Budget,Uncategorized
CFA Procured Assets,Uncategorized
CGY Contingency,Construction
CHP HC Contingency,Construction
CIM Engineering - L,Soft Costs
CJMW SD - DD KPO000040216,Uncategorized
CL - Bank Equipment,FF&E + Millwork
CL - Communication Equipment,FF&E + Millwork
CL - Communication/Computer/POS,Uncategorized
CL - Furniture Refurb,FF&E + Millwork
CL - Hanging/Framing Artwork,FF&E + Millwork
CL - Security Equipment,FF&E + Millwork
CL - Systems Furniture / New Furniture,FF&E + Millwork
CL - Telecom Expense,FF&E + Millwork
CM Bond,Uncategorized
CM Contingency,Construction
CM Fee,Soft Costs
CM Fee & Insurance,Soft Costs
CM General Conditions,Construction
CM&B Pre-Construction Services,Construction
CM&B Re-Stripe Parking Lot Lines,Uncategorized
CM&B Steel Joist Survey,Soft Costs
CM/Construction,Construction
CMK Lighting Pkg. Ph3,Uncategorized
CO #03 - Dock Leveler Upgrade,Uncategorized
CO #1 AV/IT,Uncategorized
CO #10 - Framing Changes,Construction
CO #11 General Construction,Construction
CO #3 - Door Swing Change,Uncategorized
CO #4 Acoustical Changes,Soft Costs
CO #7 - Electrical T&M,Construction
CO 4,Uncategorized
CO Allowance,Construction
CO No. 4: - Selected Alternates,Uncategorized
CO# 1 - Mill work - Upper Cabinets,Uncategorized
CO#1 & CO #5 Change Order Abatement,Uncategorized
CO#4 Gate Removal- TA lease requirement,Construction
CO3,Uncategorized
CO6,Uncategorized
COB Engineering Contingency,Construction
COE Approved Budget Balance,Uncategorized
COM,Uncategorized
CON - ADA / Fair Housing,Uncategorized
CON - Acoustical,Soft Costs
CON - CM GMP,Construction
CON - CM GMP CONTINGENCY,Construction
CON - Parking,Uncategorized
CON - Traffic,Uncategorized
CON - Waterproofing,Construction
CON Fees,Soft Costs
CON- Close Out Inspection and Warranty,Soft Costs
CON- Environmental Consultant and Testing,Soft Costs
CON- Misc.,Uncategorized
CON- QA / Threshold Inspectors,Uncategorized
CON- Special Inspections,Soft Costs
CON- Wetlands Consultant,Soft Costs
CONSTRUCTION COST - SSB,Construction
CONSULTANT - Acoustical Consultant (Longman Lindsey),Soft Costs
CONSULTANT - Audio Visual Consultant (Linear Technologies),FF&E + Millwork
CONSULTANT - Energy Modeling (JLL),Soft Costs
CONSULTANT - Information Technology & Security Consultant (Syska),FF&E + Millwork
CONSULTANT - Kitchen Consultant (Elite Studio),FF&E + Millwork
CONSULTANT - LEED/WELL Program Fees and  3rd Party Inspections for 2025 (IBM),FF&E + Millwork
CONSULTANT - LEED/Well Consultant (JLL),Soft Costs
CONSULTANT - Landscape Architect (RGR) - SD & DDs,Soft Costs
"CONSULTANT - Legal, Internal     (Tracked by IBM )",Soft Costs
CONSULTANT - Lighting Consultant (Syska Hennessey),Soft Costs
CONSULTANT - Pedestrian Modeling (ARUP),Soft Costs
CONSULTANT - Project Management / Cost Management JLL with Due Diligence - Project Management,Soft Costs
CONSULTANT - Project Reimbursable Expenses,Soft Costs
CONSULTANT - Special Inspections  - Concrete  (Skyline/Skylab via VIATEQ),Soft Costs
CONSULTANT - Structural Engineer (Severud),Soft Costs
CONSULTANT - Vertical Transportation (BOCA Group),Soft Costs
CONSULTANT- Special Inspections  (SIS via VIATEQ),Soft Costs
CONTINGENCY,Construction
CONTINGENCY - SOFT COSTS,Soft Costs
CONTINGENCY - Soft Costs,Soft Costs
COP,Uncategorized
COP - Furniture Design,FF&E + Millwork
COPN Application,Uncategorized
COS Allowance,Construction
COSTO DIRECTO,Uncategorized
COSTOS ADMINISTRATIVOS,Uncategorized
COSTOS OPERATIVOS,Uncategorized
COVID 19 Novo LL cost,Uncategorized
COVID 19 Novo PwC Cost,Uncategorized
COVID Contingency,Construction
COVID-19 Allowances,Construction
CQV,Uncategorized
CR's Dev and Summer 24,Uncategorized
CRAC Unit,Uncategorized
CRB Approval,Uncategorized
CRB Approval - Unallocated,Uncategorized
CRB Approval Unallocated,Uncategorized
CRB Approved Funding,Uncategorized
CRB Remaining Approval Amount,Uncategorized
CRE Project Expense,Uncategorized
CREWS Tech Equipment,FF&E + Millwork
CRI - Design Fee,Soft Costs
CRIV - FM,Uncategorized
CRIV - SBO,Uncategorized
CS Project Manager,Uncategorized
CSDA - Acoustical,Soft Costs
CSI Specifications,Uncategorized
"CSP - Structured Cabling, Security Cameras, and AV",FF&E + Millwork
CW - Artwork Purchase,FF&E + Millwork
CW - Communication Equipment,FF&E + Millwork
CW - Hanging/Framing Artwork,FF&E + Millwork
CW - Security Equipment,FF&E + Millwork
CW - Systems Furniture,FF&E + Millwork
CW - Telecom Expense,FF&E + Millwork
CWC,Uncategorized
CWC (Excluding design),Uncategorized
CX Agent,Uncategorized
CX equip,Uncategorized
Cabinet Design Control,Soft Costs
Cable Mgmt Vendor (175 Staff x $50),Uncategorized
Cable Removal,Uncategorized
Cable TV and Televisions,Uncategorized
Cabling,FF&E + Millwork
Cabling & A/V,FF&E + Millwork
Cabling & AV - Electra Link,FF&E + Millwork
Cabling & AV - Ighty,FF&E + Millwork
Cabling - EC,FF&E + Millwork
Cabling - L,FF&E + Millwork
Cabling - Metro Sound Pros,FF&E + Millwork
Cabling - Voice/Data/AV,FF&E + Millwork
Cabling / IT,FF&E + Millwork
Cabling Contingency,Construction
Cabling Design,FF&E + Millwork
Cabling Exp,FF&E + Millwork
Cabling Removal,FF&E + Millwork
Cabling System,FF&E + Millwork
Cabling System BH,FF&E + Millwork
"Cabling, Ladder, Tray, Termination Gear & Racks",FF&E + Millwork
Cabling/Electrical Decom,FF&E + Millwork
Cabling/IT Infrastructure (00011 / 49030),FF&E + Millwork
Cabling/Wiring,FF&E + Millwork
Cadwell - Entrance Digital Signage,FF&E + Millwork
Cafe Appliances,FF&E + Millwork
"Cafe Appliances, Equipment, etc",FF&E + Millwork
Cafe Equipment,FF&E + Millwork
Cafe Kiosks,Uncategorized
Cafe Tables,FF&E + Millwork
Cafeteria & Food Service Equipment,FF&E + Millwork
Cafeteria - Food Service Equipment (00011 / 40100),FF&E + Millwork
Cafeteria/Food Service Equipment,FF&E + Millwork
Calabasas Phase 1-3,Soft Costs
Calbing / Communications / Security,FF&E + Millwork
Call Buttons,Uncategorized
Call Center Access Control-CCTV,FF&E + Millwork
Call Center Audio/Visual,FF&E + Millwork
Call Center Cabling/IT Infrastructure,FF&E + Millwork
"Call Center Furniture, Fixture and Equipment",FF&E + Millwork
Call Center Interior Buildout,Uncategorized
Call Center Relocation/Move Costs,FF&E + Millwork
Call Center Soft Costs - Design/PM,Soft Costs
Cameo Global,Uncategorized
Camera Existing Storm and Sanitary Lines,Construction
Camera Installation and Support (Andersen),Uncategorized
Cameras,FF&E + Millwork
Canada only - BC HST TAX,Uncategorized
Canada only - GST TAX,Uncategorized
Canada only - NB HST TAX,Uncategorized
Canada only - NF HST TAX,Uncategorized
Canada only - NS HST TAX,Uncategorized
Canada only - ON HST TAX,Uncategorized
Canada only - PST TAX,Uncategorized
Canada only - QST TAX,Uncategorized
Canopies & Sitework Construction Costs,Construction
Canopy/Awning,Uncategorized
Cap 2020 Budgeting,Uncategorized
Cap Contingency,Construction
Cap Contingency 10%,Construction
Cap X Funding,Uncategorized
CapEx - Lump Sum Funding,Uncategorized
CapEx Contingency,Construction
CapEx During Construction,Construction
Capital,Uncategorized
Capital Budget,Uncategorized
Capital Contingency,Construction
Capital Contingency (1.0 and 2.0),Construction
Capital IT Cost - per ROM,Uncategorized
Capital Interest,Uncategorized
Capitalized Expenses,Uncategorized
Capitalized Interest - Debt,Uncategorized
Capitalized Operating Costs,Uncategorized
Capitol Interest,Uncategorized
Car Charging Stations,Uncategorized
Car Storage,Uncategorized
Car Wash,Uncategorized
Card Access,Uncategorized
Card Access/Security,FF&E + Millwork
Card Reader Removal,Uncategorized
Card Reader Removal/Key Switch,Uncategorized
Card Readers,Uncategorized
Card Readers LI,Uncategorized
Card Readers and Access Control,FF&E + Millwork
Cardiac Physician Relocation Construction,FF&E + Millwork
Carpentry,Construction
Carpentry Finish,Construction
Carpentry Rough,Construction
Carpet,FF&E + Millwork
Carpet & Flooring,FF&E + Millwork
Carpet & Paint,FF&E + Millwork
Carpet & Resilient Floor System,FF&E + Millwork
Carpet & Vinyl,FF&E + Millwork
Carpet Cleaning,FF&E + Millwork
Carpet Installation,FF&E + Millwork
Carpet Labor,FF&E + Millwork
Carpet Materials,FF&E + Millwork
Carpet/Blinds Bldg Imprv,FF&E + Millwork
Carpet/Blinds Lse Hold Imprv,FF&E + Millwork
Carpet/LVT/ & Vinyl Base,FF&E + Millwork
Carrier Contract,Uncategorized
Carrier Corp- Mechanical,Soft Costs
Casework,FF&E + Millwork
Cash Flow - A/V Equipment & Art,FF&E + Millwork
Cash Flow - Furniture & Fixtures,FF&E + Millwork
Cash Safe/Safe Deposit-TFE,Uncategorized
Cat 7 Reimbursable Expenses,Soft Costs
Caulking Allowance,Construction
Cavalier,Uncategorized
"Ceiling Infill 4, 5, 7",Uncategorized
Ceilings,Construction
Cell Phone Service,Uncategorized
"Cellar, L1, L2 - Lindera (Technics)",Uncategorized
Cement Panels,Uncategorized
Cement Tile - Owner Purchased,Construction
Centerpoint Energy Fees,Soft Costs
Ceramic Tile,Uncategorized
Ceramic Tile - 9630,Construction
Ceramic Tile and Base,Construction
Certificate of Need,Uncategorized
Certificate of Occupancy (Permitting),Soft Costs
Chairs,FF&E + Millwork
Chairs / Tables,FF&E + Millwork
Chamber Equipment,FF&E + Millwork
Chamber removal,Uncategorized
Change Management,Uncategorized
Change Management (Spain),Uncategorized
Change Management - TMA,Uncategorized
Change Management Consultant,Soft Costs
Change Managment,Uncategorized
Change Mgr - JLL,Soft Costs
Change Order #1,Uncategorized
Change Order #1 - Soundmasking,Uncategorized
Change Order #2,Uncategorized
Change Order #2 -Conduit for Fiber,Uncategorized
Change Order #3,Uncategorized
Change Order #3 - Warehouse Office,Uncategorized
Change Order #4- Exterior Signage,FF&E + Millwork
Change Order #5-Wakefield Low Voltage,FF&E + Millwork
Change Order #6-Electrify Hardware for Doors,Uncategorized
