taskname,category
1.1.10 Structured Cabling,FF&E + Millwork
1.1.11 Access Control & CCTV,FF&E + Millwork
1.1.13 Branding,FF&E + Millwork
1.1.14 Audio & Video GC,FF&E + Millwork
1.1.2 Flooring,Construction
1.1.3  Carpet,FF&E + Millwork
1.1.4 Electrical Power Distribution,Construction
1.1.5 Lighting &Lighting Control,Construction
1.1.6 HVAC (Supply and Installation),Construction
1.1.7 Plumbing System,Construction
1.1.8 Fire Detection & Fire Alarm System,Construction
1.1.9 Sprinklers & Fire Extinguishing,Construction
1.10 Material Testing (Independent Lab),Construction
1.11 SC Contingency,Construction
1.2.1 Administrtion (A) | Administracion(A),Construction
1.2.2 Contingency (C) | mprevistos (I),Construction
1.2.3 Utility (U) | Utilidad (U),Construction
10 - Specialties,Construction
10 Fire Alarm System & Panel,Construction
10 Fire Protect Piping and Sprinklers,Construction
10 Fire Protection,Construction
10 Fire Protection Piping and Sprinklers,Construction
10 Glass Enclosures,Construction
10 Identification Devices,Construction
10 Interior Signage,FF&E + Millwork
10 M-Specialties,Construction
10 Moving Costs (Personal Contents Only),FF&E + Millwork
10 Partitions,FF&E + Millwork
10 Specialties,Construction
"10 Specialties, all",Construction
"10 Specialties, all (Item 13 Gilbane GMP 2221006)",Construction
10 Specialties-LHI,Construction
10 Specialties| all,Construction
10 Storage Shelving,FF&E + Millwork
10 Toilet Accessories,FF&E + Millwork
10% Construction Contingency,Construction
10% Contingency,Construction
10% Design Contingency,Soft Costs
10% Project Contingency,Construction
10-Specialty Construction - Other,Construction
10101200-Cleaning,Uncategorized
10101996-Building Equipment,FF&E + Millwork
10101997-Contingency,Construction
10104995-Contingency,Construction
10104996-Building Exterior Imprv,Construction
10104996-Owned Building Exterior Imprv,Construction
10104997-Owned Bldg Interior Improve,Uncategorized
10104997-Owned Building Interior Imprv,Construction
10105995-New Building,Uncategorized
1013 Rialto D,Construction
1014,Uncategorized
1016,Uncategorized
"10201000-Land, all",Uncategorized
10201100-Land,Uncategorized
10201995-Land Improvements,Uncategorized
10204995-Land Improvement,Uncategorized
10204995-Land Improvements,Uncategorized
10206100-JA1002001-Site Survey,Soft Costs
1021 Hillsborough U,Construction
1022 Rialto U,Construction
1023,Uncategorized
1024 Hillsborough U,Construction
1026 Rialto U,Construction
1027 Rialto U,Construction
1028,Uncategorized
1031 Hillsborough U,Construction
1032 Rialto U,Construction
1033 Rialto U,Construction
1037 Rialto U,Construction
1081 NPC LLC - LL assistance,Construction
10: Painting,Construction
10th Floor Data Center Decomissioning (by Brookfield),FF&E + Millwork
10th Floor Employee and/or Content Moving (by Invesco),FF&E + Millwork
10th and 11th FL Furniture Liquidation (by Invesco),FF&E + Millwork
11 - Equipment,FF&E + Millwork
11 ATM,Construction
11 AV Equipment,FF&E + Millwork
11 Appliances,FF&E + Millwork
"11 Audio/Visual, all",FF&E + Millwork
11 Banking Equipment,FF&E + Millwork
11 Building Equipment,FF&E + Millwork
11 Commercial Video,FF&E + Millwork
11 Equipment,FF&E + Millwork
11 Equipment Exp,FF&E + Millwork
"11 Equipment, all",FF&E + Millwork
11 Exterior Signage,FF&E + Millwork
11 Final Cleaning,Construction
11 Fluid Waste Treatment & Disposal Equipment,FF&E + Millwork
11 Food Serv Equipment,FF&E + Millwork
11 Gym/Fitness Equip,Construction
11 Interior Signage,FF&E + Millwork
11 L-Equipment,FF&E + Millwork
11 M-Equipment,FF&E + Millwork
11 Office Equip/Furn,Construction
11 R&D Equipment,FF&E + Millwork
11 Security/Vault Equipment,FF&E + Millwork
11 Teller Equipment,FF&E + Millwork
